Timestamp;DI-001;DI-002;DI-003;DI-004;DI-005;DI-006;DI-007;DI-008;DI-009;DI-010;DI-011;DI-012;Hum.;Pres.;Temp.
2025-11-01 13:00:00;12633.461538461539;24681.25;12754.5;24676;11885.416666666666;24647;11248.083333333334;24668.8;2817;24620;12417;24646.2;31.333333333333332;1005.4677777777779;35.062222222222225
2025-11-01 15:00:00;12633.3125;24682.615384615383;12753.777777777777;24677.30769230769;11883.846153846154;24647.5;11248.5;24669;2817;24620.571428571428;12414.75;24645.615384615383;27.092307692307696;1003.6238461538462;38.38923076923077
2025-11-01 17:00:00;12632.846153846154;24682.428571428572;12751.9;24677.5;11881.7;24648.375;11248;24663.714285714286;2817;24622;12411.375;24646.636363636364;26.883333333333336;1003.4783333333334;36.60166666666667
2025-11-01 19:00:00;12634;24682.125;12750.333333333334;24677;11879.181818181818;24649;11248.222222222223;21298.875;2817;24621.85714285714;12410.363636363636;24647.833333333332;30.578571428571426;1003.9092857142858;33.916428571428575
2025-11-01 21:00:00;12634.272727272728;24681.5;12749.076923076924;24676.909090909092;11878.181818181818;24648.69230769231;11247.64705882353;21806.4;2817;24622;12408.92857142857;24646.666666666668;34.97777777777778;1004.8144444444445;32.01555555555555
2025-11-01 23:00:00;12634.9375;24682;12749.142857142857;24676.18181818182;11879.07142857143;24647.25;11249;24666.545454545456;2817;24621.714285714286;12409;24646.125;37.355555555555554;1005.5822222222222;30.93777777777778
2025-11-02 01:00:00;12633.785714285714;24682;12749;24676.7;11879.4;24647;11247.1;24669.909090909092;2817;24620.909090909092;12408.285714285714;24646;42.37499999999999;1006.005;29.338749999999997
2025-11-02 03:00:00;12633.5;24682.222222222223;12749;24676.866666666665;11878.777777777777;24647;11247.692307692309;24669;2817;24620;12408;24646;48.21333333333333;1006.2093333333335;27.4
2025-11-02 05:00:00;12633.76923076923;24682.214285714286;12749;24676.375;11878.1;24648;11246.818181818182;24668.125;2817;24620;12408;24646;51.33076923076923;1006.0653846153845;26.560000000000002
2025-11-02 07:00:00;12633.833333333334;24681.9;12749.375;24676.30769230769;11878.727272727272;24648;11246;24668.76923076923;2817;24620;12409;24645.272727272728;51.971428571428575;1007.3249999999998;26.634999999999998
2025-11-02 09:00:00;12632.363636363636;24681;12750.833333333334;24676.083333333332;11880.076923076924;24647.23076923077;11247.111111111111;24668.727272727272;2817;24620.333333333332;12409.7;24645;51.52307692307692;1007.4299999999998;27.87461538461539
2025-11-02 11:00:00;12632.555555555555;24681;12752.3;24675.666666666668;11881.214285714286;24647;11247.615384615385;24668.090909090908;2817;24619.833333333332;12411.307692307691;24644.9;48.53571428571429;1006.9607142857143;30.13642857142857
2025-11-02 13:00:00;12633.5;24682;12752.5;24676;11882;24647.666666666668;11247.57142857143;24668.571428571428;2817;24620;12411.166666666666;24645.714285714286;45.58125;1006.0774999999999;31.250625
2025-11-02 15:00:00;12633.133333333333;24682;12751.384615384615;24675.75;11881.076923076924;24647.8;11247.142857142857;24669;2817;24620.076923076922;12411.166666666666;24646.066666666666;44.45000000000001;1004.5321428571427;31.26357142857142
2025-11-02 17:00:00;12633.214285714286;24682;12749.4;24676.090909090908;11879;24647;11246.2;24669.555555555555;2817;24620.285714285714;12408.42857142857;24646.555555555555;48.406666666666666;1003.9593333333333;28.299333333333333
2025-11-02 19:00:00;12631.5;24681.8;12749.2;24676.5;11879.818181818182;24647.85714285714;11246.666666666666;24669.666666666668;2817;24620.0625;12408.1;24646;51.26153846153846;1004.1330769230769;27.73692307692308
2025-11-02 21:00:00;12633;24682;12749.833333333334;24676.3;11878.125;24647.625;11246;24669;2817;24620;12407.454545454546;24645.555555555555;54.22;1005.1693333333333;25.83866666666666
2025-11-02 23:00:00;12633.272727272728;24681.272727272728;12749.23076923077;24676.090909090908;11878.666666666666;24647;11246;24668.583333333332;2817;24620;12407.083333333334;24645.363636363636;56.26923076923077;1005.8469230769231;24.853076923076927
2025-11-03 01:00:00;12633.142857142857;24681;12749.6875;24675.5;11878;24647.090909090908;11246.166666666666;24668.64285714286;2817;24620.75;12407.923076923076;24645;56.91666666666668;1005.6483333333332;23.6575
2025-11-03 03:00:00;12633;24681.272727272728;12749.727272727272;24675;11878;24646.454545454544;11246.833333333334;24669.1;2817;24621;12407.90909090909;24645.2;57.02;1005.4950000000001;23.075
2025-11-03 05:00:00;12633;24681.5;12749.545454545454;24675;11879;24646.5;11245.75;24668.75;2817;24620.555555555555;12407.636363636364;24645.4;57.45;1005.917;21.867
2025-11-03 07:00:00;12632.777777777777;24682;12749.7;24675.555555555555;11879.727272727272;24647;11245.6;24669;2817;24620.18181818182;12408.285714285714;24645;57.225;1006.9816666666666;22.499166666666664
2025-11-03 09:00:00;12632.2;24680.833333333332;12751.9;24675;11882.9;24647;11247;24668.69230769231;2817;24620.428571428572;12412.333333333334;24645.909090909092;52.62222222222222;1007.2633333333334;25.826666666666668
2025-11-03 11:00:00;12631.866666666667;24681.1;12753.6;24675.3;11884.642857142857;24647.571428571428;11247.461538461539;24668.083333333332;2817;24619.285714285714;12415.076923076924;24645.666666666668;43.22142857142857;1006.7607142857141;30.572857142857142
2025-11-03 13:00:00;12632.8125;24681.2;12754;24676.454545454544;11885.272727272728;24646.8;11248.272727272728;24669;2817;24620.285714285714;12416;24645.777777777777;36.11818181818182;1005.7545454545453;35.14454545454545
2025-11-03 15:00:00;12632.75;24682.69230769231;12754.09090909091;24677.8;11882.733333333334;24647.625;11248.833333333334;24669.545454545456;2817;24620.615384615383;12414.111111111111;24645.7;28.96428571428572;1003.827857142857;38.69642857142857
2025-11-03 17:00:00;12632.9;24682;12752.923076923076;24678;11881.90909090909;24648.083333333332;11248.777777777777;24670;2817;24620.35714285714;12412.09090909091;24646.25;25.53;1002.939;40.092
2025-11-03 19:00:00;12633.357142857143;24682.285714285714;12751.5;24677.833333333332;11879.333333333334;24649;11248.7;24669.625;2817;24620.666666666668;12410;24647;27.200000000000003;1003.1908333333334;35.85083333333333
2025-11-03 21:00:00;12635.363636363636;24682.090909090908;12750.181818181818;24676.615384615383;11878.266666666666;24648.363636363636;11247.545454545454;24669.1;2817;24621.18181818182;12408.583333333334;24646.583333333332;32.97777777777778;1003.7688888888891;31.77444444444445
2025-11-03 23:00:00;12633.285714285714;24682;12749;24676.3125;11877.333333333334;24647.777777777777;11247;24670;2817;24621.846153846152;12407.9;24646;34.75833333333333;1003.8008333333333;29.558333333333326
2025-11-04 01:00:00;12633.125;24682;12749;24676.375;11878;24647.14285714286;11247.2;24669.88888888889;2817;24620.222222222223;12407;24645.454545454544;38.1375;1003.25125;27.38875
2025-11-04 03:00:00;12633.066666666668;24682;12749;24676;11878;24647.76923076923;11246.25;24668.25;2817;24620;12407.6;24645.85714285714;41.76666666666667;1003.2616666666668;25.830000000000002
2025-11-04 05:00:00;12633;24681;12749.166666666666;24675.846153846152;11878;24648;11247.09090909091;24668.5;2817;24620.875;12408.111111111111;24646;44.84444444444445;1002.98;24.51
2025-11-04 07:00:00;12633.125;24681.363636363636;12750.25;24675;11878.875;24647.454545454544;11247.09090909091;24668.85714285714;2817;24620.75;12408.833333333334;24646;47.73636363636364;1004.217272727273;24.739090909090905
